xlsMemberID,MembershipNum,FirstName,LastName,DOB,IsActive,IsArchived,Email,GenderID,SwimClubID,CreatedOn,HouseID,IsSwimmer
27,1027,Gabrielle,Stout,2004-10-17 00:00:00.000,1,0,am.enim@outlook.org,2,1,2019-10-15 00:00:00.000,3,1
28,1029,Evie,Wilkerson,2009-02-17 00:00:00.000,0,0,cras.dolor.dolor@protonmail.com,2,1,2019-10-17 18:00:00.000,1,1
29,1030,Olivia,Snyder,2010-10-22 00:00:00.000,1,0,feugiat.nec@protonmail.couk,2,1,2019-10-17 18:00:00.000,2,1
30,1031,Alexander,Suarez,2010-10-20 00:00:00.000,1,0,ipsum.sodales@aol.org,1,1,2019-12-05 13:02:00.000,3,1
31,1032,Ruben,Duncan,2007-06-05 00:00:00.000,0,0,fringilla.porttitor.vulputate@icloud.ca,1,1,2019-10-17 18:00:00.000,4,1
32,1033,Joshua,Lawson,2011-01-24 00:00:00.000,0,0,integer@aol.com,1,1,2019-10-17 18:00:00.000,1,1
33,1034,Caleb,Rivera,2009-02-20 00:00:00.000,0,0,vel.vulputate.eu@outlook.couk,1,1,2019-10-17 18:00:00.000,2,1
34,1035,Aaron,Newman,2014-11-10 00:00:00.000,0,0,sit.amet@outlook.edu,1,1,,3,1
35,1036,Ally,Phelps,2010-05-04 00:00:00.000,0,0,non@google.net,2,1,2019-10-17 18:00:00.000,4,1
36,1038,Finley,Molina,2014-07-19 00:00:00.000,0,0,ante@hotmail.couk,1,1,,2,1
37,1040,Claire,Bailey,2011-10-06 00:00:00.000,0,0,,2,1,2019-10-15 00:00:00.000,3,1
38,1041,Jessica,Morgan,2010-01-21 00:00:00.000,0,0,nec.euismod@outlook.edu,2,1,2019-10-17 18:00:00.000,4,1
39,1042,Ruby,Mooney,2009-12-31 00:00:00.000,0,0,,2,1,2019-10-15 00:00:00.000,1,1
40,1043,Avalon,Soto,2010-02-05 00:00:00.000,0,0,nibh@yahoo.com,2,1,2019-10-17 18:00:00.000,2,1
41,1044,Connor,Barker,2008-08-13 00:00:00.000,0,0,facilisis.suspendisse@aol.com,1,1,2019-10-15 00:00:00.000,3,1
42,1045,Louise,Mccoy,2006-08-15 00:00:00.000,0,0,sed@icloud.org,2,1,2019-10-17 18:00:00.000,4,1
43,1046,Jacob,Thornton,2008-09-29 00:00:00.000,0,0,enim.non@google.net,1,1,2019-10-17 18:00:00.000,1,1
44,1047,Curtis,Massey,2006-07-04 00:00:00.000,0,0,purus.sapien.gravida@yahoo.edu,1,1,2019-10-17 18:00:00.000,2,1
45,1048,Kye,Walter,2006-06-20 00:00:00.000,0,0,feugiat.nec.diam@icloud.edu,1,1,2019-10-15 00:00:00.000,3,1
46,1049,Benjamin,Dillard,1975-03-21 00:00:00.000,1,0,amet.dapibus@google.couk,1,1,2019-10-17 18:00:00.000,4,0
47,1050,Lachlan,Langley,2007-09-12 00:00:00.000,0,0,nec.urna@hotmail.edu,1,1,2019-10-24 18:00:00.000,1,1
48,1051,Ash,Roman,2007-05-16 00:00:00.000,0,0,lacinia.vitae@google.couk,1,1,2019-10-24 18:00:00.000,2,1
49,1052,Riley,Banks,2004-08-26 00:00:00.000,0,0,quis@outlook.com,1,1,2019-10-24 18:00:00.000,3,1
50,1053,Bella,Cooley,2006-10-16 00:00:00.000,0,0,lorem@aol.edu,2,1,2019-10-24 18:00:00.000,4,1
51,1056,Edward,Francis,2015-01-29 00:00:00.000,0,0,,1,1,2019-11-21 13:00:00.000,1,1
52,1055,Ruby,Ruiz,2006-07-15 00:00:00.000,0,0,,2,1,2019-10-31 18:00:00.000,2,1
53,1057,Kimberly,Santos,2010-12-13 00:00:00.000,1,0,,2,1,2019-11-21 13:00:00.000,3,1
54,1071,Grace,Gibbs,2013-04-23 00:00:00.000,1,0,mauris.eu@hotmail.com,2,1,2020-10-22 10:04:00.000,4,1
55,1072,John,Greene,2009-09-11 00:00:00.000,1,0,nec@google.edu,1,1,2020-10-22 10:04:00.000,1,1
56,1073,Griff,Hess,2011-10-21 00:00:00.000,1,0,,1,1,2020-10-22 10:04:00.000,2,1
57,1074,George,Shields,2012-07-25 00:00:00.000,1,0,quis.accumsan@protonmail.couk,1,1,2020-10-22 10:04:00.000,3,1
58,1075,Matteo,Lamb,2013-12-09 00:00:00.000,1,0,amet@yahoo.edu,1,1,2020-10-22 10:04:00.000,4,1
59,1076,Lucas,Wong,2011-01-20 00:00:00.000,1,0,proin.dolor.a@yahoo.ca,1,1,2020-10-22 10:04:00.000,1,1
60,1077,Liam,Battle,2013-12-11 00:00:00.000,1,0,pede@protonmail.edu,1,1,2020-10-22 10:04:00.000,2,1
61,1085,Tilly,Griffith,2013-12-27 00:00:00.000,1,0,fusce.feugiat@yahoo.com,2,1,2020-11-06 10:45:47.783,3,1
62,1079,Thomas,Cruz,2011-11-28 00:00:00.000,1,0,pharetra@hotmail.couk,1,1,2020-10-22 10:04:00.000,4,1
63,1080,Hazel,Sutton,2011-02-14 00:00:00.000,1,0,sed.eu@protonmail.com,2,1,2020-10-22 10:04:00.000,1,1
64,1081,Dominic,Hendricks,2010-12-14 00:00:00.000,1,0,,1,1,2020-10-22 10:04:00.000,2,1
65,1069,Bereket,Bush,2014-06-19 00:00:00.000,1,0,eu@yahoo.ca,2,1,2020-10-22 10:04:00.000,3,1
66,1070,Knox,Pugh,2011-08-08 00:00:00.000,1,0,dis.parturient@outlook.net,1,1,2020-10-22 10:04:00.000,4,1
67,1082,Cooper,Curtis,2010-04-01 00:00:00.000,1,0,sem.semper@yahoo.com,1,1,2020-10-22 10:04:00.000,1,1
68,1083,Jesse,Evans,2013-07-26 00:00:00.000,1,0,ultrices.iaculis.odio@hotmail.couk,1,1,2020-10-22 10:04:00.000,2,1
69,1084,Lily,Blackwell,2012-07-20 00:00:00.000,1,0,,2,1,2020-10-22 10:04:00.000,3,1
70,1087,Erin,Ware,2007-11-21 00:00:00.000,0,0,et.euismod@google.couk,2,1,2020-11-06 10:45:47.783,1,1
71,1088,Tara,Shaw,2009-08-10 00:00:00.000,0,0,phasellus.fermentum@outlook.ca,2,1,2020-11-06 10:45:47.783,2,1
72,1089,Ellie,Avery,2014-10-12 00:00:00.000,1,0,suspendisse.sagittis.am@protonmail.ca,2,1,2020-11-06 10:45:47.783,3,1
73,1090,Braxton,Jenkins,2012-12-01 00:00:00.000,0,0,eros.nam@protonmail.org,1,1,2020-11-06 10:45:47.783,4,1
74,1091,Daisy,Saunders,2010-03-15 00:00:00.000,0,0,egestas@protonmail.com,2,1,2021-02-04 18:00:00.000,1,1
75,1092,George,Baxter,2009-03-07 00:00:00.000,0,0,nec@yahoo.couk,1,1,2021-02-04 18:00:00.000,2,1
76,1093,Sam,Lane,2014-10-10 00:00:00.000,1,0,orci.adipiscing@outlook.ca,1,1,2021-02-25 17:44:18.713,3,1
77,1097,Maeve,Jenkins,2009-03-31 00:00:00.000,1,0,,2,1,2021-10-07 18:00:00.000,4,1
78,1098,Georgia,Carpenter,2011-06-28 00:00:00.000,1,0,,2,1,2021-10-07 18:00:00.000,1,1
79,1110,Zara,Sherman,2014-02-26 00:00:00.000,1,0,,2,1,2021-11-04 18:08:00.000,2,1
80,1100,Sophie,Avery,2012-06-05 00:00:00.000,0,0,,2,1,2021-10-07 18:00:00.000,3,1
81,1101,Hayley,Fischer,2013-10-11 00:00:00.000,0,0,,2,1,,4,1
82,1102,Rosie,Molina,2013-09-11 00:00:00.000,0,0,,2,1,2021-10-07 18:00:00.000,1,1
83,1103,Georgie,Goff,2013-12-06 00:00:00.000,1,0,,2,1,2021-10-07 18:00:00.000,2,1
84,1104,Xavier,Mills,2009-12-20 00:00:00.000,0,0,,1,1,2021-10-07 18:00:00.000,3,1
85,1105,Rami,Gilmore,2008-09-25 00:00:00.000,0,0,,1,1,2021-10-07 18:00:00.000,4,1
86,1106,Lailah,Weeks,2013-09-10 00:00:00.000,0,0,,2,1,2021-10-14 18:00:00.000,1,1
87,1107,Sofia,Jacobs,2010-07-19 00:00:00.000,1,0,orci.adipiscing@hotmail.com,2,1,2021-10-14 18:00:00.000,2,1
88,1108,Elizabeth,Dillard,2012-07-19 00:00:00.000,1,0,,2,1,2021-10-14 18:00:00.000,3,1
89,1109,Millie,Mayer,2015-09-22 00:00:00.000,1,0,,2,1,2021-10-14 18:00:00.000,4,1
90,1111,Rafe,Hendricks,2016-05-25 00:00:00.000,1,0,,1,1,,1,1
91,1112,Emmett,Marks,2012-05-11 00:00:00.000,1,0,egestas.hendrerit@aol.couk,1,1,2021-11-11 15:47:44.417,2,1
92,1113,Samuel,Gallegos,2014-06-20 00:00:00.000,1,0,,1,1,2021-11-11 15:47:44.417,2,1
93,1114,Arlo,Garrison,2016-05-26 00:00:00.000,1,0,,1,1,2022-01-27 18:00:00.000,3,1
94,1115,Oliver,Charles,2012-04-20 00:00:00.000,1,0,,1,1,2022-01-27 18:00:00.000,4,1
95,1116,Taylor,Chan,2010-04-12 00:00:00.000,1,0,penatibus.et.magnis@outlook.couk,2,1,2022-01-27 18:00:00.000,1,1
96,1117,Tommy,Orr,2013-03-29 00:00:00.000,1,0,,1,1,2022-01-27 18:00:00.000,2,1
97,1118,Bonnie,Doyle,2014-06-22 00:00:00.000,1,0,mauris.sagittis.placerat@protonmail.net,2,1,2022-02-10 18:00:00.000,3,1
98,1119,Kaylee,Meyers,2013-05-10 00:00:00.000,1,0,vulputate.risus@google.net,2,1,2022-02-10 18:00:00.000,4,1
99,1120,Oscar,Howard,2015-08-10 00:00:00.000,1,0,,1,1,,1,1
